sdssds;n1_cod_centro_custo;n1_centro_custo;n1_CC;n2_cod_centro_custo;n2_centro_custo;n2_CC;n3_cod_centro_custo;n3_centro_custo;n3_CC;n4_cod_centro_custo;n4_centro_custo;n4_CC;cod_conta;conta;cod_conta-descr;filial;titulo;valor_nf;valor_pago; valor_conta ;observacao;data_nf;data_pagamento;cod_credor_forn_cli_func;credor_forn_cli_func;Origem;Sistema;Dados auxiliares; Valor Oficial 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;NFE-28335;2.810,72;0,00;-702,68;" CRISTINA - NFE. 28.335 VENC. 01/04/26 VIA CARTÃO 7286 EM 4X - REF. A COMPRA DE SEAL KIT P/ USO NA PRENSA MOVEL GDU0275,
PRUDENTE";25/03/2026;NAO PAGO;26061;MADAL PALFINGER S/A;Saida (Aplicacoes);SAGI;28335-2/55;-R$ 702,68 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.2;QXH2G14 (PHH0061);1.2.1.8.2 QXH2G14 (PHH0061);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;NFE-28262;2.810,72;2.810,72;-2.810,72; NFE 28.262 VENC. 17/03/26 PAGAMENTO VIA CARTÃO FLASH DA COLABORADORA GISELE P/ ACERTAR SALDO DO MESMO - REF. A COMPRA DE 04 SEALS KITS P/ USO NA PRENSA MOVEL QXH2G14, PRUDENTE;17/03/2026;2026-03-17;26061;MADAL PALFINGER S/A;Saida (Aplicacoes);SAGI;28262-2/55;-R$ 2.810,72 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-122750;279,00;0,00;-279,00;" CRISTINA - NFE. 122.750 VENC. 15/04/26 VIA BOL. - REF. A COMPRA DE VALVULA NIVELADORA DA SUSPENSÃO DA PRENSA MOVEL
GDU0275, PRUDENTE";27/03/2026;NAO PAGO;10054;DIPECARR DIST DE PECAS E ACESSORIOS PARA CARRETAS LTDA;Saida (Aplicacoes);SAGI;122750-1/55;-R$ 279,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.3;PHH0062;1.2.1.8.3 PHH0062;7.1.18;FRETES E CARRETOS;7.1.18 FRETES E CARRETOS;G&S PRUDENTE;CTE-13719;77,34;77,34;-77,34;" CRISTINA - CTE. 13.719 VENC. VIA BOL. - FRETE REF. A COMPRA DE ELEMENTO RETORNO E ELEMENTO PRESSAO P/ USO DA PRENSA
MOVEL PHH0062, PRUDENTE";04/03/2026;2026-04-02;28897;TRANSPORTE ALTERNATIVO LTDA ME;Saida (Aplicacoes);SAGI;13719-2/57;-R$ 77,34 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-161711;705,40;0,00;-705,40; CRISTINA - NFE. 161.711 VENC. 25/04/26 VIA PIX - REF. A COMPRA DE MANGUEIRA HIDRAULICA GATES AGR2-4 E TERMINAL P/ USO NA PRENSA MOVEL GDU0275, PRUDENTE -  - PEDIDO: 582922  PLACA GDU0275 ( PEDIDO VERBAL VINICIUS ) VOCE PAGOU APROXIMADAMENTE:  104,95 DE TRIBUTOS FEDERAIS  126,97 DE TRIBUTOS ESTADUAIS  0,00 DE TRIBUTOS MUNICIPAIS  FONTE: IBPT  - CHAVE: 1C2537 CBS/IBS VL. BC: 557,32, VL. CBS: 5,02 , VL. IBS-UF: 0,55 , VL. IBS-MUN: 0,00;24/03/2026;NAO PAGO;7736;PRUDENFLEX COMERCIO E SERVICOS LTDA.;Saida (Aplicacoes);SAGI;161711-1/55;-R$ 705,40 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-97921;446,76;0,00;-111,69;" CRISTINA - NFE. 97.921 VENC. 25/04/26 VIA BOL. - REF. A COMPRA DE FAIXA REFLETIVAS LADO DIREITO E ESQUERDO MAIS DO
PARACHOQUE P/ USO NAS PRENSAS MOVEIS GDU0275 E QXH2G14 E P/ OS CAMINHÕES SUY4F83 E OON3B85, PRUDENTE";24/03/2026;NAO PAGO;8071;BR DISTRIBUIDORA DE PECAS E ACESSORIOS PARA CARRETAS LTDA;Saida (Aplicacoes);SAGI;97921-1/55;-R$ 111,69 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.2;QXH2G14 (PHH0061);1.2.1.8.2 QXH2G14 (PHH0061);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-97921;446,76;0,00;-111,69;" CRISTINA - NFE. 97.921 VENC. 25/04/26 VIA BOL. - REF. A COMPRA DE FAIXA REFLETIVAS LADO DIREITO E ESQUERDO MAIS DO
PARACHOQUE P/ USO NAS PRENSAS MOVEIS GDU0275 E QXH2G14 E P/ OS CAMINHÕES SUY4F83 E OON3B85, PRUDENTE";24/03/2026;NAO PAGO;8071;BR DISTRIBUIDORA DE PECAS E ACESSORIOS PARA CARRETAS LTDA;Saida (Aplicacoes);SAGI;97921-1/55;-R$ 111,69 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-133992;492,00;0,00;-164,00;" CRISTINA - NFE. 133.992 VENC. 25/04/26 VIA BOL. - REF. A COMPRA DE CLEAN SOL 150 E CLEAN AT 350 50LTS P/ LIMPEZA DAS
PRENSAS MOVEIS GFU0275, PHH0062 E QXH2G14, PRUDENTE";27/03/2026;NAO PAGO;261;PRUDEMPLAST QUIMICA INDUSTRIAL LTDA - EPP;Saida (Aplicacoes);SAGI;133992-1/55;-R$ 164,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.2;QXH2G14 (PHH0061);1.2.1.8.2 QXH2G14 (PHH0061);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-133992;492,00;0,00;-164,00;" CRISTINA - NFE. 133.992 VENC. 25/04/26 VIA BOL. - REF. A COMPRA DE CLEAN SOL 150 E CLEAN AT 350 50LTS P/ LIMPEZA DAS
PRENSAS MOVEIS GFU0275, PHH0062 E QXH2G14, PRUDENTE";27/03/2026;NAO PAGO;261;PRUDEMPLAST QUIMICA INDUSTRIAL LTDA - EPP;Saida (Aplicacoes);SAGI;133992-1/55;-R$ 164,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.3;PHH0062;1.2.1.8.3 PHH0062;7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-133992;492,00;0,00;-164,00;" CRISTINA - NFE. 133.992 VENC. 25/04/26 VIA BOL. - REF. A COMPRA DE CLEAN SOL 150 E CLEAN AT 350 50LTS P/ LIMPEZA DAS
PRENSAS MOVEIS GFU0275, PHH0062 E QXH2G14, PRUDENTE";27/03/2026;NAO PAGO;261;PRUDEMPLAST QUIMICA INDUSTRIAL LTDA - EPP;Saida (Aplicacoes);SAGI;133992-1/55;-R$ 164,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.2;QXH2G14 (PHH0061);1.2.1.8.2 QXH2G14 (PHH0061);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;AL29562;1.750,00;1.750,00;-583,33;" CRISTINA - S/N VENC. 25/03/26 VIA ALELO - REF. A LAVAGEM DA PRENSA MOVEL QXH2G14 R$300,00 09/03 LAVAGEM DA
EMPILHADEIRA EPT0024 R$100,00 13/03 PINTURA DA CAÇAMBA DTB6854 R$1.200,00 13/03 LAVAGEM DO CHASSI DA CAÇAMBA R$150,00
13/03";23/03/2026;2026-03-26;31607;MARCIO ALUISIO BATELANI DE LIMA JUNIOR;Saida (Aplicacoes);SAGI;;-R$ 583,33 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;NFE-23870;51,99;0,00;-51,99; CRISTINA - NFE. 23.870 VENC. 15/04/26 VIA CARTÃO 8971 EM 1X (MAIS 16,99 REFERENTE AO FRETE) - REF. A COMPRA DE PAR AMORTECEDOR PORTA MALAS TAMPA TRASEIRA P/ USO NA PRENSA MOVEL GDU0275, PRUDENTE -  - CONF. LEI 12.741/2012 TRIBUTACAO APROX. R$7.88 (15.15%) FEDERAL E R$9.36 (18.0%) ESTADUAL - FONTE IBPT /;20/03/2026;NAO PAGO;32328;J. B. DOS SANTOS DISTRIBUIDORA LTDA;Saida (Aplicacoes);SAGI;23870-2/55;-R$ 51,99 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;NFE-66468;564,00;564,00;-115,00;" CRISTINA - NFE. 66.468 VENC. 05/04/26 VIA BOL. - REF. A COMPRA DE GAS LP 2.1 20KG UTILIZADO NA MANUTENÇAO DA
EMPILHADEIRA EPT0024 E GAS LP 2.1 13KG P/ USO NA PRENSA MOVEL GDU0275, PRUDENTE";20/03/2026;2026-04-06;26376;L C PRUDENTE COMERCIO DE GAS E AGUA LTDA - ME;Saida (Aplicacoes);SAGI;66468-1/55;-R$ 115,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;NFE-32954;42,00;42,00;-42,00;" CRISTINA - NFE. 32.954 VENC. 05/04/26 VIA BOL. - REF. A COMPRA DE 06 CURVAS 90 1"" P/ USO NA PRENSA MOVEL GDU0275,
PRUDENTE";24/03/2026;2026-04-06;26881;MERCEFRAN FECHADURAS LTDA - ME;Saida (Aplicacoes);SAGI;32954-1/55;-R$ 42,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.2;QXH2G14 (PHH0061);1.2.1.8.2 QXH2G14 (PHH0061);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-107321;1.024,86;1.024,86;-1.024,86; CRISTINA - NFE. 107.321 VENC. 05/04/26 VIA BOL. - REF. A COMPRA DE CHAPA, DISCO DE CORTE E PITO P/ MANUTENÇÃO NA PRENSA MOVEL QXH2G14, PRUDENTE -  - CONFERIR O MATERIAL NO ATO DA ENTREGA, NAO ACEITAMOS RECLAMACES POSTERIORES. PEDIDO DO CLIENTE - - PEDIDO INTERNO: 0159291. ENTREGA: - - VENDEDOR RESPONSAVEL: LUIS AUGUSTO DUARTE SILVA - VALOR APROX. DOS TRIBUTOS: R$ 331,37 - FONTE: IBPT-PLACA: QXH2G14;12/03/2026;2026-04-06;820;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;Saida (Aplicacoes);SAGI;107321-1/55;-R$ 1.024,86 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.2;QXH2G14 (PHH0061);1.2.1.8.2 QXH2G14 (PHH0061);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-64009;378,00;378,00;-378,00; CRISTINA - NFE. 64.009 VENC. 05/04/26 VIA BOL. - REF. A COMPRA DE FILTROS P/ USO NA PRENSA MOVEL QXH2G14, PRUDENTE;16/03/2026;2026-04-06;24492;PRUDEN-FIL DISTRIBUIDORA DE FILTROS E UBRIF LDTA;Saida (Aplicacoes);SAGI;64009-1/55;-R$ 378,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.2;QXH2G14 (PHH0061);1.2.1.8.2 QXH2G14 (PHH0061);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-443627;384,00;384,00;-384,00;" CRISTINA - NFE. 443.627 VENC. 05/04/26 VIA BOL. - REF. A COMPRA DE COMPONENTES ELETRICOS P/ MANUTENÇÃO NA PRENSA
MOVEL QXH2G14, PRUDENTE";12/03/2026;2026-04-06;28900;ELETROREDE MATERIAIS ELETRICOS LTDA    ELETROSUL;Saida (Aplicacoes);SAGI;443627-1/55;-R$ 384,00 
